,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
128,cap62,30,18,2.220796585083008,977799.4,977727.1689764019,29,reached dual gap tolerance
129,cap62,30,20,2.056976318359375,977799.4,977687.7257506489,27,reached subgradient tolerance
130,cap62,40,2,10.518416166305542,977799.4,961860.8435824452,201,max iterations
131,cap62,40,4,10.248036623001099,977799.4,976603.7129415044,201,max iterations
132,cap62,40,6,1.6739294528961182,977799.4,977389.7786500442,25,reached subgradient tolerance
133,cap62,40,8,1.8245880603790283,977799.4,977585.6422914701,25,reached subgradient tolerance
134,cap62,40,10,1.7226243019104004,977799.4,977680.2039457699,21,reached subgradient tolerance
135,cap62,40,12,1.358271837234497,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
136,cap62,40,14,1.9511282444000244,977799.4,977794.8013821578,26,reached dual gap tolerance
137,cap62,40,16,1.8794324398040771,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
138,cap62,40,18,2.196923017501831,977799.4,977727.1689764019,29,reached dual gap tolerance
139,cap62,40,20,2.142294406890869,977799.4,977687.7257506489,27,reached subgradient tolerance
140,cap62,50,2,10.476279258728027,977799.4,961860.8435824452,201,max iterations
141,cap62,50,4,10.23227334022522,977799.4,976603.7129415044,201,max iterations
142,cap62,50,6,1.6582756042480469,977799.4,977389.7786500442,25,reached subgradient tolerance
143,cap62,50,8,1.8199412822723389,977799.4,977585.6422914701,25,reached subgradient tolerance
144,cap62,50,10,1.697474718093872,977799.4,977680.2039457699,21,reached subgradient tolerance
145,cap62,50,12,1.3568644523620605,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
146,cap62,50,14,1.9384541511535645,977799.4,977794.8013821578,26,reached dual gap tolerance
147,cap62,50,16,1.8944363594055176,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
148,cap62,50,18,2.291477918624878,977799.4,977727.1689764019,29,reached dual gap tolerance
149,cap62,50,20,1.998426914215088,977799.4,977687.7257506489,27,reached subgradient tolerance
150,cap62,60,2,10.706665992736816,977799.4,961860.8435824452,201,max iterations
151,cap62,60,4,10.384363651275635,977799.4,976603.7129415044,201,max iterations
152,cap62,60,6,1.9463706016540527,977799.4,977389.7786500442,25,reached subgradient tolerance
153,cap62,60,8,2.0166218280792236,977799.4,977585.6422914701,25,reached subgradient tolerance
154,cap62,60,10,1.7980709075927734,977799.4,977680.2039457699,21,reached subgradient tolerance
155,cap62,60,12,1.4104540348052979,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
156,cap62,60,14,1.964911937713623,977799.4,977794.8013821578,26,reached dual gap tolerance
157,cap62,60,16,1.900663137435913,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
158,cap62,60,18,2.2229363918304443,977799.4,977727.1689764019,29,reached dual gap tolerance
159,cap62,60,20,1.9878036975860596,977799.4,977687.7257506489,27,reached subgradient tolerance
160,cap62,70,2,11.317333221435547,977799.4,961860.8435824452,201,max iterations
161,cap62,70,4,10.372379302978516,977799.4,976603.7129415044,201,max iterations
162,cap62,70,6,1.7790448665618896,977799.4,977389.7786500442,25,reached subgradient tolerance
163,cap62,70,8,1.8640131950378418,977799.4,977585.6422914701,25,reached subgradient tolerance
164,cap62,70,10,1.714787483215332,977799.4,977680.2039457699,21,reached subgradient tolerance
165,cap62,70,12,1.3681926727294922,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
166,cap62,70,14,1.9013824462890625,977799.4,977794.8013821578,26,reached dual gap tolerance
167,cap62,70,16,1.8995075225830078,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
168,cap62,70,18,2.1859967708587646,977799.4,977727.1689764019,29,reached dual gap tolerance
169,cap62,70,20,2.0054664611816406,977799.4,977687.7257506489,27,reached subgradient tolerance
170,cap62,80,2,9.91476559638977,977799.4,961860.8435824452,201,max iterations
171,cap62,80,4,8.633936166763306,977799.4,976603.7129415044,201,max iterations
172,cap62,80,6,1.6725711822509766,977799.4,977389.7786500442,25,reached subgradient tolerance
173,cap62,80,8,1.8431987762451172,977799.4,977585.6422914701,25,reached subgradient tolerance
174,cap62,80,10,1.6000676155090332,977799.4,977680.2039457699,21,reached subgradient tolerance
175,cap62,80,12,1.4844088554382324,977799.4,977745.3954368515,20,reached subgradient tolerance and dual gap tolerance
176,cap62,80,14,1.734750747680664,977799.4,977794.8013821578,26,reached dual gap tolerance
177,cap62,80,16,1.5714538097381592,977799.4,977799.3999999998,24,reached subgradient tolerance and dual gap tolerance
178,cap62,80,18,1.8929409980773926,977799.4,977727.1689764019,29,reached dual gap tolerance
179,cap62,80,20,1.9086318016052246,977799.4,977687.7257506489,27,reached subgradient tolerance
180,cap62,90,2,9.050727605819702,977799.4,961860.8435824452,201,max iterations
181,cap62,90,4,8.715572834014893,977799.4,976603.7129415044,201,max iterations
