,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
105,cap62,10,12,0.27343273162841797,0.0,0.0,0,unclear if the intergrality property holds
106,cap62,10,14,0.28321218490600586,0.0,0.0,0,unclear if the intergrality property holds
107,cap62,10,16,0.3787980079650879,0.0,0.0,0,unclear if the intergrality property holds
108,cap62,10,18,0.2787315845489502,0.0,0.0,0,unclear if the intergrality property holds
109,cap62,10,20,0.2859313488006592,0.0,0.0,0,unclear if the intergrality property holds
110,cap62,20,2,0.43988537788391113,0.0,0.0,0,unclear if the intergrality property holds
111,cap62,20,4,0.48633670806884766,0.0,0.0,0,unclear if the intergrality property holds
112,cap62,20,6,0.5015368461608887,0.0,0.0,0,unclear if the intergrality property holds
113,cap62,20,8,0.4584224224090576,0.0,0.0,0,unclear if the intergrality property holds
114,cap62,20,10,0.4356498718261719,0.0,0.0,0,unclear if the intergrality property holds
115,cap62,20,12,0.41921472549438477,0.0,0.0,0,unclear if the intergrality property holds
116,cap62,20,14,0.41963863372802734,0.0,0.0,0,unclear if the intergrality property holds
117,cap62,20,16,0.41976404190063477,0.0,0.0,0,unclear if the intergrality property holds
118,cap62,20,18,0.4360933303833008,0.0,0.0,0,unclear if the intergrality property holds
119,cap62,20,20,0.4442758560180664,0.0,0.0,0,unclear if the intergrality property holds
120,cap62,30,2,7.404016733169556,977799.4,967349.281410771,201,max iterations
121,cap62,30,4,11.1725492477417,977799.4,976175.1063009623,201,max iterations
122,cap62,30,6,1.2844195365905762,977799.4,977104.4850630797,17,reached subgradient tolerance
123,cap62,30,8,2.1984126567840576,977799.4,977441.6001856888,26,reached subgradient tolerance
124,cap62,30,10,2.017014980316162,977799.4,977543.2140683462,24,reached subgradient tolerance
125,cap62,30,12,2.75795316696167,977799.4,977696.3519522491,35,reached subgradient tolerance
126,cap62,30,14,2.428145408630371,977799.4,977704.684815816,29,reached subgradient tolerance and dual gap tolerance
127,cap62,30,16,2.3764703273773193,977799.4,977731.8069450018,33,reached subgradient tolerance and dual gap tolerance
128,cap62,30,18,2.506950855255127,977799.4,977703.6217121813,37,reached subgradient tolerance and dual gap tolerance
129,cap62,30,20,2.084075689315796,977799.4,977465.9189976375,23,reached subgradient tolerance
130,cap62,40,2,7.360297918319702,982761.8375,951146.5114992562,201,max iterations
131,cap62,40,4,10.871544599533081,977799.4,956539.0965504375,201,max iterations
132,cap62,40,6,11.48692774772644,977799.4,972974.8855395088,201,max iterations
133,cap62,40,8,11.476151466369629,977799.4,976468.1258047604,201,max iterations
134,cap62,40,10,2.65960955619812,977799.4,977721.1237938041,36,reached dual gap tolerance
135,cap62,40,12,2.235358953475952,977799.4,977490.6137822521,37,reached subgradient tolerance
136,cap62,40,14,2.7952768802642822,977799.4,977573.64672658,43,reached subgradient tolerance
137,cap62,40,16,2.3532469272613525,977799.4,977417.2203856023,32,reached subgradient tolerance
138,cap62,40,18,1.964662790298462,977799.4,977564.1896411458,28,reached subgradient tolerance
139,cap62,40,20,2.3686702251434326,977799.4,977748.2724136482,36,reached dual gap tolerance
140,cap62,50,2,7.202427864074707,982761.8375,951146.5114992562,201,max iterations
141,cap62,50,4,11.001919507980347,977799.4,956539.0965504375,201,max iterations
142,cap62,50,6,11.556658029556274,977799.4,972974.8855395088,201,max iterations
143,cap62,50,8,11.210601806640625,977799.4,976468.1258047604,201,max iterations
144,cap62,50,10,2.228947877883911,977799.4,977721.1237938041,36,reached dual gap tolerance
